team,player1,player2,p1_pos,p2_pos,co_games,joi90,jdi90,offensive,defensive
Poland,Grzegorz Krychowiak,Krzysztof Piątek,Center Defensive Midfield,Substitute,4,0.0,-3.270832,0.0,2.4655
Poland,Grzegorz Krychowiak,Mateusz Wieteska,Center Defensive Midfield,Substitute,4,0.0,-3.270486,0.0,2.4666
Poland,Grzegorz Krychowiak,Nicola Zalewski,Center Defensive Midfield,Left Midfield,4,0.007072,-3.479788,0.2577,1.8155
Poland,Grzegorz Krychowiak,Robert Gumny,Center Defensive Midfield,Substitute,4,0.0,-3.270486,0.0,2.4666
Poland,Grzegorz Krychowiak,Sebastian Szymański,Center Defensive Midfield,Left Center Midfield,4,0.046447,-3.469572,1.6926,1.8473
Poland,Grzegorz Krychowiak,Szymon Żurkowski,Center Defensive Midfield,Substitute,4,0.0,-3.270486,0.0,2.4666
Poland,Grzegorz Krychowiak,Łukasz Skorupski,Center Defensive Midfield,Substitute,4,0.0,-3.270486,0.0,2.4666
Poland,Jakub Kamiński,Jan Bednarek,Right Midfield,Substitute,4,0.0,-3.217087,0.0,2.6327
Poland,Jakub Kamiński,Kamil Glik,Right Midfield,Right Center Back,4,0.006688,-3.558107,0.2437,1.5718
Poland,Jakub Kamiński,Kamil Grabara,Right Midfield,Substitute,4,0.0,-3.109222,0.0,2.9682
Poland,Jakub Kamiński,Kamil Grosicki,Right Midfield,Substitute,4,0.0,-3.246042,0.0,2.5426
Poland,Jakub Kamiński,Karol Świderski,Right Midfield,Substitute,4,0.0,-3.22941,0.0,2.5943
Poland,Jakub Kamiński,Mateusz Wieteska,Right Midfield,Substitute,4,0.0,-3.109222,0.0,2.9682
Poland,Jakub Kamiński,Matty Cash,Right Midfield,Right Back,4,0.096083,-3.3842,3.5013,2.1128
Poland,Jakub Kamiński,Michał Skóraś,Right Midfield,Substitute,4,0.0,-3.287448,0.0,2.4138
Poland,Jakub Kamiński,Nicola Zalewski,Right Midfield,Left Midfield,4,0.0,-3.318525,0.0,2.3171
Poland,Jakub Kamiński,Przemysław Frankowski,Right Midfield,Left Midfield,4,0.011985,-3.437113,0.4367,1.9482
Poland,Jakub Kamiński,Robert Gumny,Right Midfield,Substitute,4,0.0,-3.109222,0.0,2.9682
Poland,Jakub Kamiński,Sebastian Szymański,Right Midfield,Left Center Midfield,4,0.00174,-3.308308,0.0634,2.3489
Poland,Jakub Kamiński,Szymon Żurkowski,Right Midfield,Substitute,4,0.0,-3.109222,0.0,2.9682
Poland,Jakub Kamiński,Łukasz Skorupski,Right Midfield,Substitute,4,0.0,-3.109222,0.0,2.9682
Poland,Jakub Piotr Kiwior,Jan Bednarek,Left Center Back,Substitute,4,0.0,-3.504436,0.0,1.7388
Poland,Jakub Piotr Kiwior,Kamil Grabara,Left Center Back,Substitute,4,0.0,-3.396572,0.0,2.0743
Poland,Jakub Piotr Kiwior,Kamil Grosicki,Left Center Back,Substitute,4,0.0,-3.533391,0.0,1.6487
Poland,Jakub Piotr Kiwior,Krzysztof Piątek,Left Center Back,Substitute,4,0.0,-3.396918,0.0,2.0733
Poland,Jakub Piotr Kiwior,Mateusz Wieteska,Left Center Back,Substitute,4,0.0,-3.396572,0.0,2.0743
Poland,Jakub Piotr Kiwior,Nicola Zalewski,Left Center Back,Left Midfield,4,0.029138,-3.605874,1.0618,1.4232
Poland,Jakub Piotr Kiwior,Przemysław Frankowski,Left Center Back,Left Midfield,4,0.079282,-3.724462,2.889,1.0543
Poland,Jakub Piotr Kiwior,Robert Gumny,Left Center Back,Substitute,4,0.0,-3.396572,0.0,2.0743
Poland,Jakub Piotr Kiwior,Sebastian Szymański,Left Center Back,Left Center Midfield,4,0.141327,-3.595658,5.15,1.455
Poland,Jakub Piotr Kiwior,Szymon Żurkowski,Left Center Back,Substitute,4,0.0,-3.396572,0.0,2.0743
Poland,Jakub Piotr Kiwior,Łukasz Skorupski,Left Center Back,Substitute,4,0.0,-3.396572,0.0,2.0743
Poland,Jan Bednarek,Kamil Glik,Substitute,Right Center Back,4,0.0,-3.445831,0.0,1.9211
Poland,Jan Bednarek,Kamil Grabara,Substitute,Substitute,4,0.0,-2.996947,0.0,3.3175
Poland,Jan Bednarek,Kamil Grosicki,Substitute,Substitute,4,0.008885,-3.133767,0.3238,2.8919
Poland,Jan Bednarek,Karol Świderski,Substitute,Substitute,4,0.0,-3.117134,0.0,2.9436
Poland,Jan Bednarek,Krystian Bielik,Substitute,Left Defensive Midfield,4,0.017227,-3.448423,0.6278,1.913
Poland,Jan Bednarek,Krzysztof Piątek,Substitute,Substitute,4,0.0,-2.997293,0.0,3.3164
Poland,Jan Bednarek,Mateusz Wieteska,Substitute,Substitute,4,0.0,-2.996947,0.0,3.3175
Poland,Jan Bednarek,Matty Cash,Substitute,Right Back,4,0.0,-3.271924,0.0,2.4621
Poland,Jan Bednarek,Michał Skóraś,Substitute,Substitute,4,0.0,-3.175173,0.0,2.7631
Poland,Jan Bednarek,Nicola Zalewski,Substitute,Left Midfield,4,0.0,-3.206249,0.0,2.6664
Poland,Jan Bednarek,Piotr Zieliński,Substitute,Right Center Midfield,4,0.012157,-3.32988,0.443,2.2818
Poland,Jan Bednarek,Przemysław Frankowski,Substitute,Left Midfield,4,0.0,-3.324838,0.0,2.2975
Poland,Jan Bednarek,Robert Gumny,Substitute,Substitute,4,0.0,-2.996947,0.0,3.3175
Poland,Jan Bednarek,Robert Lewandowski,Substitute,Center Forward,4,0.0,-3.06315,0.0,3.1115
Poland,Jan Bednarek,Sebastian Szymański,Substitute,Left Center Midfield,4,0.0,-3.196033,0.0,2.6982
Poland,Jan Bednarek,Szymon Żurkowski,Substitute,Substitute,4,0.0,-2.996947,0.0,3.3175
Poland,Jan Bednarek,Wojciech Szczęsny,Substitute,Goalkeeper,4,0.0,-3.044206,0.0,3.1705
Poland,Jan Bednarek,Łukasz Skorupski,Substitute,Substitute,4,0.0,-2.996947,0.0,3.3175
Poland,Kamil Glik,Kamil Grabara,Right Center Back,Substitute,4,0.0,-3.337967,0.0,2.2566
Poland,Kamil Glik,Kamil Grosicki,Right Center Back,Substitute,4,0.0,-3.474786,0.0,1.831
Poland,Kamil Glik,Krzysztof Piątek,Right Center Back,Substitute,4,0.0,-3.338313,0.0,2.2556
Poland,Kamil Glik,Mateusz Wieteska,Right Center Back,Substitute,4,0.0,-3.337967,0.0,2.2566
