team,player1,player2,p1_pos,p2_pos,co_games,joi90,jdi90,offensive,defensive
Switzerland,Breel-Donald Embolo,Remo Freuler,Center Forward,Right Defensive Midfield,4,0.056981,-2.777938,2.0764,3.9988
Switzerland,Remo Freuler,Silvan Widmer,Right Defensive Midfield,Right Back,3,0.296742,-2.81139,10.0,3.8947
Switzerland,Fabian Lukas Schär,Silvan Widmer,Substitute,Right Back,3,0.094752,-2.535224,3.4528,4.7538
Switzerland,Djibril Sow,Fabian Lukas Schär,Center Attacking Midfield,Substitute,4,0.039866,-2.654284,1.4527,4.3834
Switzerland,Djibril Sow,Xherdan Shaqiri,Center Attacking Midfield,Right Wing,4,0.151588,-2.616943,5.5239,4.4996
Switzerland,Manuel Obafemi Akanji,Xherdan Shaqiri,Right Center Back,Right Wing,4,0.292047,-2.965376,10.0,3.4157
Switzerland,Fabian Lukas Schär,Gregor Kobel,Substitute,Substitute,4,0.013563,-2.485583,0.4942,4.9082
Switzerland,Djibril Sow,Ruben Vargas,Center Attacking Midfield,Left Wing,4,0.340155,-2.624825,10.0,4.4751
Switzerland,Ricardo Iván Rodríguez Araya,Ruben Vargas,Left Back,Left Wing,4,0.442567,-2.719749,10.0,4.1798
Switzerland,Gregor Kobel,Manuel Obafemi Akanji,Substitute,Right Center Back,4,0.07675,-2.866764,2.7968,3.7225
Switzerland,Manuel Obafemi Akanji,Ricardo Iván Rodríguez Araya,Right Center Back,Left Back,4,0.137857,-3.130389,5.0235,2.9024
Switzerland,Granit Xhaka,Manuel Obafemi Akanji,Left Defensive Midfield,Right Center Back,4,0.491842,-3.207113,10.0,2.6637
Switzerland,Gregor Kobel,Remo Freuler,Substitute,Right Defensive Midfield,4,-0.00475,-2.716096,0.0,4.1912
Switzerland,Silvan Widmer,Xherdan Shaqiri,Right Back,Right Wing,3,0.336434,-2.482423,10.0,4.9181
Switzerland,Fabian Lukas Schär,Xherdan Shaqiri,Substitute,Right Wing,4,0.05635,-2.584195,2.0534,4.6015
Switzerland,Fabian Lukas Schär,Ricardo Iván Rodríguez Araya,Substitute,Left Back,4,0.197076,-2.749208,7.1815,4.0882
Switzerland,Fabian Lukas Schär,Manuel Obafemi Akanji,Substitute,Right Center Back,4,0.16479,-3.002717,6.005,3.2995
Switzerland,Breel-Donald Embolo,Silvan Widmer,Center Forward,Right Back,3,0.145215,-2.433397,5.2917,5.0706
Switzerland,Breel-Donald Embolo,Granit Xhaka,Center Forward,Left Defensive Midfield,4,0.533042,-2.751821,10.0,4.08
Switzerland,Granit Xhaka,Ricardo Iván Rodríguez Araya,Left Defensive Midfield,Left Back,4,0.494491,-2.953605,10.0,3.4523
Switzerland,Granit Xhaka,Ruben Vargas,Left Defensive Midfield,Left Wing,4,0.276857,-2.796473,10.0,3.9411
Switzerland,Granit Xhaka,Gregor Kobel,Left Defensive Midfield,Substitute,4,0.005078,-2.689979,0.185,4.2724
Switzerland,Djibril Sow,Manuel Obafemi Akanji,Center Attacking Midfield,Right Center Back,4,0.295675,-3.035465,10.0,3.1977
Switzerland,Djibril Sow,Silvan Widmer,Center Attacking Midfield,Right Back,3,0.249623,-2.573521,9.0963,4.6347
Switzerland,Granit Xhaka,Remo Freuler,Left Defensive Midfield,Right Defensive Midfield,4,0.199368,-3.056445,7.265,3.1324
Switzerland,Manuel Obafemi Akanji,Silvan Widmer,Right Center Back,Right Back,3,0.493147,-2.959653,10.0,3.4335
Switzerland,Fabian Lukas Schär,Remo Freuler,Substitute,Right Defensive Midfield,4,0.259995,-2.852049,9.4743,3.7682
Switzerland,Breel-Donald Embolo,Fabian Lukas Schär,Center Forward,Substitute,4,0.195073,-2.547425,7.1085,4.7159
Switzerland,Breel-Donald Embolo,Ruben Vargas,Center Forward,Left Wing,4,0.192541,-2.517966,7.0162,4.8075
Switzerland,Gregor Kobel,Ricardo Iván Rodríguez Araya,Substitute,Left Back,4,0.0105,-2.613255,0.3826,4.5111
Switzerland,Manuel Obafemi Akanji,Ruben Vargas,Right Center Back,Left Wing,4,0.189913,-2.973258,6.9205,3.3912
Switzerland,Djibril Sow,Ricardo Iván Rodríguez Araya,Center Attacking Midfield,Left Back,4,0.06742,-2.781956,2.4568,3.9863
Switzerland,Djibril Sow,Granit Xhaka,Center Attacking Midfield,Left Defensive Midfield,4,0.174309,-2.85868,6.3518,3.7476
Switzerland,Breel-Donald Embolo,Djibril Sow,Center Forward,Center Attacking Midfield,4,0.075459,-2.580173,2.7497,4.614
Switzerland,Remo Freuler,Xherdan Shaqiri,Right Defensive Midfield,Right Wing,4,0.228524,-2.814708,8.3275,3.8844
Switzerland,Remo Freuler,Ricardo Iván Rodríguez Araya,Right Defensive Midfield,Left Back,4,0.069196,-2.979721,2.5215,3.3711
Switzerland,Fabian Lukas Schär,Granit Xhaka,Substitute,Left Defensive Midfield,4,0.169083,-2.825932,6.1614,3.8495
Switzerland,Ricardo Iván Rodríguez Araya,Silvan Widmer,Left Back,Right Back,3,0.006331,-2.663668,0.2307,4.3543
Switzerland,Djibril Sow,Gregor Kobel,Center Attacking Midfield,Substitute,4,0.0005,-2.518331,0.0182,4.8064
Switzerland,Granit Xhaka,Silvan Widmer,Left Defensive Midfield,Right Back,3,0.31559,-2.752644,10.0,4.0775
Switzerland,Granit Xhaka,Xherdan Shaqiri,Left Defensive Midfield,Right Wing,4,0.168251,-2.788591,6.1311,3.9656
Switzerland,Breel-Donald Embolo,Ricardo Iván Rodríguez Araya,Center Forward,Left Back,4,0.069415,-2.675097,2.5295,4.3187
Switzerland,Breel-Donald Embolo,Xherdan Shaqiri,Center Forward,Right Wing,4,0.112173,-2.510084,4.0876,4.832
Switzerland,Ruben Vargas,Xherdan Shaqiri,Left Wing,Right Wing,4,0.073271,-2.554736,2.67,4.6931
Switzerland,Manuel Obafemi Akanji,Remo Freuler,Right Center Back,Right Defensive Midfield,4,0.28383,-3.23323,10.0,2.5825
Switzerland,Ricardo Iván Rodríguez Araya,Xherdan Shaqiri,Left Back,Right Wing,4,0.05158,-2.711867,1.8796,4.2043
Switzerland,Djibril Sow,Remo Freuler,Center Attacking Midfield,Right Defensive Midfield,4,0.106157,-2.884797,3.8684,3.6664
Switzerland,Breel-Donald Embolo,Edimilson Fernandes,Center Forward,Substitute,4,0.058788,-2.5617,2.1422,4.6715
Switzerland,Edimilson Fernandes,Remo Freuler,Substitute,Right Defensive Midfield,4,0.043023,-2.866324,1.5678,3.7238
Switzerland,Denis Lemi Zakaria Lako Lado,Ruben Vargas,Substitute,Left Wing,4,0.024408,-2.49736,0.8894,4.8716
Switzerland,Edimilson Fernandes,Ricardo Iván Rodríguez Araya,Substitute,Left Back,4,0.026685,-2.763483,0.9724,4.0437
Switzerland,Breel-Donald Embolo,Denis Lemi Zakaria Lako Lado,Center Forward,Substitute,4,0.02301,-2.452708,0.8385,5.0105
Switzerland,Denis Lemi Zakaria Lako Lado,Ricardo Iván Rodríguez Araya,Substitute,Left Back,4,0.019586,-2.654491,0.7137,4.3828
Switzerland,Edimilson Fernandes,Silvan Widmer,Substitute,Right Back,3,0.087695,-2.623458,3.1956,4.4793
Switzerland,Denis Lemi Zakaria Lako Lado,Silvan Widmer,Substitute,Right Back,3,0.008032,-2.377751,0.2927,5.2437
Switzerland,Denis Lemi Zakaria Lako Lado,Manuel Obafemi Akanji,Substitute,Right Center Back,4,0.037178,-2.908,1.3548,3.5942
Switzerland,Remo Freuler,Ruben Vargas,Right Defensive Midfield,Left Wing,4,0.214402,-2.822589,7.8129,3.8599
Switzerland,Denis Lemi Zakaria Lako Lado,Granit Xhaka,Substitute,Left Defensive Midfield,4,0.06382,-2.731216,2.3256,4.1441
Switzerland,Christian Fassnacht,Remo Freuler,Substitute,Right Defensive Midfield,4,0.020274,-2.669942,0.7388,4.3347
Switzerland,Christian Fassnacht,Ricardo Iván Rodríguez Araya,Substitute,Left Back,4,0.029003,-2.567101,1.0569,4.6547
Switzerland,Edimilson Fernandes,Granit Xhaka,Substitute,Left Defensive Midfield,4,0.128268,-2.840207,4.6741,3.8051
Switzerland,Denis Lemi Zakaria Lako Lado,Edimilson Fernandes,Substitute,Substitute,4,0.043201,-2.541094,1.5742,4.7356
Switzerland,Christian Fassnacht,Granit Xhaka,Substitute,Left Defensive Midfield,4,0.031339,-2.643825,1.142,4.416
Switzerland,Christian Fassnacht,Edimilson Fernandes,Substitute,Substitute,4,0.009105,-2.453704,0.3318,5.0074
Switzerland,Christian Fassnacht,Fabian Lukas Schär,Substitute,Substitute,4,0.006558,-2.439429,0.239,5.0518
Switzerland,Breel-Donald Embolo,Gregor Kobel,Center Forward,Substitute,4,0.00475,-2.411472,0.1731,5.1388
Switzerland,Gregor Kobel,Ruben Vargas,Substitute,Left Wing,4,0.0095,-2.456123,0.3462,4.9999
Switzerland,Gregor Kobel,Silvan Widmer,Substitute,Right Back,3,0.025333,-2.437286,0.9232,5.0585
Switzerland,Granit Xhaka,Noah Okafor,Left Defensive Midfield,Right Wing,3,0.217747,-2.870189,7.9348,3.7118
Switzerland,Noah Okafor,Ricardo Iván Rodríguez Araya,Right Wing,Left Back,3,0.030747,-2.736977,1.1204,4.1262
Switzerland,Christian Fassnacht,Manuel Obafemi Akanji,Substitute,Right Center Back,4,0.068947,-2.82061,2.5124,3.866
Switzerland,Christian Fassnacht,Denis Lemi Zakaria Lako Lado,Substitute,Substitute,4,0.02,-2.344712,0.7288,5.3465
Switzerland,Ardon Jashari,Breel-Donald Embolo,Substitute,Center Forward,4,0.051206,-2.421837,1.866,5.1065
Switzerland,Ardon Jashari,Christian Fassnacht,Substitute,Substitute,4,0.0,-2.313841,0.0,5.4425
Switzerland,Ardon Jashari,Denis Lemi Zakaria Lako Lado,Substitute,Substitute,4,0.0,-2.401232,0.0,5.1706
Switzerland,Ardon Jashari,Djibril Sow,Substitute,Center Attacking Midfield,4,0.0,-2.528696,0.0,4.7741
Switzerland,Ardon Jashari,Edimilson Fernandes,Substitute,Substitute,4,0.0,-2.510223,0.0,4.8316
Switzerland,Ardon Jashari,Eray Ervin Cömert,Substitute,Left Back,4,0.0,-2.443203,0.0,5.0401
Switzerland,Ardon Jashari,Fabian Frei,Substitute,Center Attacking Midfield,4,0.0,-2.417079,0.0,5.1213
Switzerland,Ardon Jashari,Fabian Lukas Schär,Substitute,Substitute,4,0.0,-2.495948,0.0,4.876
Switzerland,Ardon Jashari,Fabian Rieder,Substitute,Left Wing,4,0.0,-2.432284,0.0,5.074
Switzerland,Ardon Jashari,Granit Xhaka,Substitute,Left Defensive Midfield,4,0.030123,-2.700345,1.0977,4.2402
Switzerland,Ardon Jashari,Gregor Kobel,Substitute,Substitute,4,0.0,-2.359995,0.0,5.2989
Switzerland,Ardon Jashari,Haris Seferović,Substitute,Center Forward,4,0.0005,-2.298751,0.0182,5.4894
Switzerland,Ardon Jashari,Jonas Omlin,Substitute,Substitute,4,0.0,-2.305601,0.0,5.4681
Switzerland,Ardon Jashari,Manuel Obafemi Akanji,Substitute,Right Center Back,4,0.001722,-2.877129,0.0628,3.6902
Switzerland,Ardon Jashari,Michel Aebischer,Substitute,Substitute,4,0.0,-2.316316,0.0,5.4348
Switzerland,Ardon Jashari,Noah Okafor,Substitute,Right Wing,3,0.006657,-2.570548,0.2426,4.6439
Switzerland,Ardon Jashari,Remo Freuler,Substitute,Right Defensive Midfield,4,0.0,-2.726461,0.0,4.1589
Switzerland,Ardon Jashari,Renato Steffen,Substitute,Substitute,3,0.0,-2.622842,0.0,4.4813
Switzerland,Ardon Jashari,Ricardo Iván Rodríguez Araya,Substitute,Left Back,4,-0.001515,-2.623621,0.0,4.4788
Switzerland,Ardon Jashari,Ruben Vargas,Substitute,Left Wing,4,0.0,-2.466489,0.0,4.9676
Switzerland,Ardon Jashari,Silvan Widmer,Substitute,Right Back,3,0.0,-2.364761,0.0,5.2841
Switzerland,Ardon Jashari,Xherdan Shaqiri,Substitute,Right Wing,4,0.0,-2.458607,0.0,4.9922
Switzerland,Breel-Donald Embolo,Christian Fassnacht,Center Forward,Substitute,4,0.0,-2.365318,0.0,5.2824
Switzerland,Breel-Donald Embolo,Eray Ervin Cömert,Center Forward,Left Back,4,0.023603,-2.49468,0.8601,4.8799
Switzerland,Breel-Donald Embolo,Fabian Frei,Center Forward,Center Attacking Midfield,4,0.0,-2.468556,0.0,4.9612
Switzerland,Breel-Donald Embolo,Fabian Rieder,Center Forward,Left Wing,4,0.020578,-2.48376,0.7498,4.9139
Switzerland,Breel-Donald Embolo,Haris Seferović,Center Forward,Center Forward,4,0.0,-2.350227,0.0,5.3293
Switzerland,Breel-Donald Embolo,Jonas Omlin,Center Forward,Substitute,4,0.0,-2.357078,0.0,5.308
Switzerland,Breel-Donald Embolo,Manuel Obafemi Akanji,Center Forward,Right Center Back,4,0.2999,-2.928606,10.0,3.5301
Switzerland,Breel-Donald Embolo,Michel Aebischer,Center Forward,Substitute,4,0.0,-2.367793,0.0,5.2747
Switzerland,Breel-Donald Embolo,Noah Okafor,Center Forward,Right Wing,3,0.0,-2.726166,0.0,4.1598
Switzerland,Breel-Donald Embolo,Renato Steffen,Center Forward,Substitute,3,0.026,-2.70233,0.9474,4.234
Switzerland,Christian Fassnacht,Djibril Sow,Substitute,Center Attacking Midfield,4,0.0,-2.472177,0.0,4.9499
Switzerland,Christian Fassnacht,Eray Ervin Cömert,Substitute,Left Back,4,0.0,-2.386684,0.0,5.2159
Switzerland,Christian Fassnacht,Fabian Frei,Substitute,Center Attacking Midfield,4,0.0,-2.360559,0.0,5.2972
Switzerland,Christian Fassnacht,Fabian Rieder,Substitute,Left Wing,4,0.0,-2.375764,0.0,5.2499
Switzerland,Christian Fassnacht,Gregor Kobel,Substitute,Substitute,4,0.0,-2.303475,0.0,5.4747
Switzerland,Christian Fassnacht,Haris Seferović,Substitute,Center Forward,4,0.0,-2.242231,0.0,5.6653
Switzerland,Christian Fassnacht,Jonas Omlin,Substitute,Substitute,4,0.0,-2.249082,0.0,5.6439
Switzerland,Christian Fassnacht,Michel Aebischer,Substitute,Substitute,4,0.0,-2.259797,0.0,5.6106
Switzerland,Christian Fassnacht,Noah Okafor,Substitute,Right Wing,3,0.0,-2.495188,0.0,4.8784
Switzerland,Christian Fassnacht,Renato Steffen,Substitute,Substitute,3,0.0,-2.547482,0.0,4.7157
Switzerland,Christian Fassnacht,Ruben Vargas,Substitute,Left Wing,4,0.0,-2.409969,0.0,5.1435
Switzerland,Christian Fassnacht,Silvan Widmer,Substitute,Right Back,3,0.0,-2.375747,0.0,5.2499
Switzerland,Christian Fassnacht,Xherdan Shaqiri,Substitute,Right Wing,4,0.0,-2.402088,0.0,5.168
Switzerland,Denis Lemi Zakaria Lako Lado,Djibril Sow,Substitute,Center Attacking Midfield,4,0.0,-2.559567,0.0,4.6781
Switzerland,Denis Lemi Zakaria Lako Lado,Eray Ervin Cömert,Substitute,Left Back,4,0.0,-2.474074,0.0,4.944
Switzerland,Denis Lemi Zakaria Lako Lado,Fabian Frei,Substitute,Center Attacking Midfield,4,0.0,-2.44795,0.0,5.0253
Switzerland,Denis Lemi Zakaria Lako Lado,Fabian Lukas Schär,Substitute,Substitute,4,0.0,-2.526819,0.0,4.78
Switzerland,Denis Lemi Zakaria Lako Lado,Fabian Rieder,Substitute,Left Wing,4,0.0,-2.463155,0.0,4.978
Switzerland,Denis Lemi Zakaria Lako Lado,Gregor Kobel,Substitute,Substitute,4,0.0,-2.390866,0.0,5.2029
Switzerland,Denis Lemi Zakaria Lako Lado,Haris Seferović,Substitute,Center Forward,4,-0.001249,-2.329622,0.0,5.3934
Switzerland,Denis Lemi Zakaria Lako Lado,Jonas Omlin,Substitute,Substitute,4,0.0,-2.336472,0.0,5.3721
Switzerland,Denis Lemi Zakaria Lako Lado,Michel Aebischer,Substitute,Substitute,4,0.0,-2.347187,0.0,5.3388
Switzerland,Denis Lemi Zakaria Lako Lado,Noah Okafor,Substitute,Right Wing,3,0.020935,-2.611709,0.7629,4.5159
Switzerland,Denis Lemi Zakaria Lako Lado,Remo Freuler,Substitute,Right Defensive Midfield,4,0.0,-2.757332,0.0,4.0629
Switzerland,Denis Lemi Zakaria Lako Lado,Renato Steffen,Substitute,Substitute,3,0.0,-2.664003,0.0,4.3532
Switzerland,Denis Lemi Zakaria Lako Lado,Xherdan Shaqiri,Substitute,Right Wing,4,0.0005,-2.489478,0.0182,4.8961
Switzerland,Djibril Sow,Edimilson Fernandes,Center Attacking Midfield,Substitute,4,0.074595,-2.668559,2.7183,4.339
Switzerland,Djibril Sow,Eray Ervin Cömert,Center Attacking Midfield,Left Back,4,0.0,-2.601539,0.0,4.5475
Switzerland,Djibril Sow,Fabian Frei,Center Attacking Midfield,Center Attacking Midfield,4,0.0,-2.575415,0.0,4.6288
Switzerland,Djibril Sow,Fabian Rieder,Center Attacking Midfield,Left Wing,4,0.009238,-2.590619,0.3366,4.5815
Switzerland,Djibril Sow,Haris Seferović,Center Attacking Midfield,Center Forward,4,0.0,-2.457086,0.0,4.9969
Switzerland,Djibril Sow,Jonas Omlin,Center Attacking Midfield,Substitute,4,0.0,-2.463937,0.0,4.9756
Switzerland,Djibril Sow,Michel Aebischer,Center Attacking Midfield,Substitute,4,0.0,-2.474652,0.0,4.9422
Switzerland,Djibril Sow,Noah Okafor,Center Attacking Midfield,Right Wing,3,0.0,-2.767375,0.0,4.0316
Switzerland,Djibril Sow,Renato Steffen,Center Attacking Midfield,Substitute,3,0.0,-2.820421,0.0,3.8666
Switzerland,Edimilson Fernandes,Eray Ervin Cömert,Substitute,Left Back,4,0.027073,-2.583066,0.9866,4.605
Switzerland,Edimilson Fernandes,Fabian Frei,Substitute,Center Attacking Midfield,4,0.0095,-2.556941,0.3462,4.6863
Switzerland,Edimilson Fernandes,Fabian Lukas Schär,Substitute,Substitute,4,0.032546,-2.635811,1.186,4.4409
Switzerland,Edimilson Fernandes,Fabian Rieder,Substitute,Left Wing,4,0.0,-2.572146,0.0,4.639
Switzerland,Edimilson Fernandes,Gregor Kobel,Substitute,Substitute,4,0.0,-2.499858,0.0,4.8638
Switzerland,Edimilson Fernandes,Haris Seferović,Substitute,Center Forward,4,0.001235,-2.438613,0.045,5.0544
Switzerland,Edimilson Fernandes,Jonas Omlin,Substitute,Substitute,4,0.0,-2.445464,0.0,5.033
Switzerland,Edimilson Fernandes,Manuel Obafemi Akanji,Substitute,Right Center Back,4,0.136377,-3.016992,4.9696,3.2551
Switzerland,Edimilson Fernandes,Michel Aebischer,Substitute,Substitute,4,0.0,-2.456179,0.0,4.9997
Switzerland,Edimilson Fernandes,Noah Okafor,Substitute,Right Wing,3,0.0,-2.679271,0.0,4.3057
Switzerland,Edimilson Fernandes,Renato Steffen,Substitute,Substitute,3,0.05954,-2.809325,2.1697,3.9011
Switzerland,Edimilson Fernandes,Ruben Vargas,Substitute,Left Wing,4,0.0,-2.606351,0.0,4.5326
Switzerland,Edimilson Fernandes,Xherdan Shaqiri,Substitute,Right Wing,4,0.180917,-2.59847,6.5927,4.5571
Switzerland,Eray Ervin Cömert,Fabian Frei,Left Back,Center Attacking Midfield,4,0.0005,-2.489921,0.0182,4.8947
Switzerland,Eray Ervin Cömert,Fabian Lukas Schär,Left Back,Substitute,4,0.0,-2.568791,0.0,4.6494
Switzerland,Eray Ervin Cömert,Fabian Rieder,Left Back,Left Wing,4,0.0,-2.505126,0.0,4.8474
Switzerland,Eray Ervin Cömert,Granit Xhaka,Left Back,Left Defensive Midfield,4,0.078739,-2.773187,2.8693,4.0136
Switzerland,Eray Ervin Cömert,Gregor Kobel,Left Back,Substitute,4,0.0,-2.432838,0.0,5.0723
Switzerland,Eray Ervin Cömert,Haris Seferović,Left Back,Center Forward,4,0.0,-2.371593,0.0,5.2628
Switzerland,Eray Ervin Cömert,Jonas Omlin,Left Back,Substitute,4,0.0,-2.378444,0.0,5.2415
Switzerland,Eray Ervin Cömert,Manuel Obafemi Akanji,Left Back,Right Center Back,4,0.162645,-2.949972,5.9268,3.4636
Switzerland,Eray Ervin Cömert,Michel Aebischer,Left Back,Substitute,4,0.0,-2.389159,0.0,5.2082
Switzerland,Eray Ervin Cömert,Noah Okafor,Left Back,Right Wing,3,0.042493,-2.667671,1.5485,4.3418
Switzerland,Eray Ervin Cömert,Remo Freuler,Left Back,Right Defensive Midfield,4,0.01,-2.799304,0.3644,3.9323
Switzerland,Eray Ervin Cömert,Renato Steffen,Left Back,Substitute,3,0.0,-2.619828,0.0,4.4906
Switzerland,Eray Ervin Cömert,Ricardo Iván Rodríguez Araya,Left Back,Left Back,4,0.086523,-2.696463,3.1529,4.2522
Switzerland,Eray Ervin Cömert,Ruben Vargas,Left Back,Left Wing,4,0.0,-2.539331,0.0,4.741
Switzerland,Eray Ervin Cömert,Silvan Widmer,Left Back,Right Back,3,0.0,-2.464898,0.0,4.9726
Switzerland,Eray Ervin Cömert,Xherdan Shaqiri,Left Back,Right Wing,4,0.05406,-2.53145,1.9699,4.7656
Switzerland,Fabian Frei,Fabian Lukas Schär,Center Attacking Midfield,Substitute,4,0.0,-2.542666,0.0,4.7307
Switzerland,Fabian Frei,Fabian Rieder,Center Attacking Midfield,Left Wing,4,0.019432,-2.479002,0.7081,4.9287
Switzerland,Fabian Frei,Granit Xhaka,Center Attacking Midfield,Left Defensive Midfield,4,-0.00424,-2.747063,0.0,4.0948
Switzerland,Fabian Frei,Gregor Kobel,Center Attacking Midfield,Substitute,4,0.0,-2.406713,0.0,5.1536
Switzerland,Fabian Frei,Haris Seferović,Center Attacking Midfield,Center Forward,4,0.0095,-2.345469,0.3462,5.3441
Switzerland,Fabian Frei,Jonas Omlin,Center Attacking Midfield,Substitute,4,0.0,-2.352319,0.0,5.3228
Switzerland,Fabian Frei,Manuel Obafemi Akanji,Center Attacking Midfield,Right Center Back,4,0.015578,-2.923848,0.5677,3.5449
Switzerland,Fabian Frei,Michel Aebischer,Center Attacking Midfield,Substitute,4,0.0,-2.363034,0.0,5.2895
Switzerland,Fabian Frei,Noah Okafor,Center Attacking Midfield,Right Wing,3,0.010837,-2.497737,0.3949,4.8704
Switzerland,Fabian Frei,Remo Freuler,Center Attacking Midfield,Right Defensive Midfield,4,0.001,-2.773179,0.0364,4.0136
Switzerland,Fabian Frei,Renato Steffen,Center Attacking Midfield,Substitute,3,0.010555,-2.671597,0.3846,4.3296
Switzerland,Fabian Frei,Ricardo Iván Rodríguez Araya,Center Attacking Midfield,Left Back,4,0.0,-2.670339,0.0,4.3335
Switzerland,Fabian Frei,Ruben Vargas,Center Attacking Midfield,Left Wing,4,0.0,-2.513207,0.0,4.8223
Switzerland,Fabian Frei,Silvan Widmer,Center Attacking Midfield,Right Back,3,0.043401,-2.513398,1.5815,4.8217
Switzerland,Fabian Frei,Xherdan Shaqiri,Center Attacking Midfield,Right Wing,4,0.0,-2.505326,0.0,4.8468
Switzerland,Fabian Lukas Schär,Fabian Rieder,Substitute,Left Wing,4,0.0,-2.557871,0.0,4.6834
Switzerland,Fabian Lukas Schär,Haris Seferović,Substitute,Center Forward,4,0.0,-2.424338,0.0,5.0988
Switzerland,Fabian Lukas Schär,Jonas Omlin,Substitute,Substitute,4,0.0,-2.431189,0.0,5.0774
Switzerland,Fabian Lukas Schär,Michel Aebischer,Substitute,Substitute,4,0.0,-2.441904,0.0,5.0441
Switzerland,Fabian Lukas Schär,Noah Okafor,Substitute,Right Wing,3,0.0,-2.737998,0.0,4.123
Switzerland,Fabian Lukas Schär,Renato Steffen,Substitute,Substitute,3,0.0,-2.790292,0.0,3.9604
Switzerland,Fabian Lukas Schär,Ruben Vargas,Substitute,Left Wing,4,0.047956,-2.592076,1.7475,4.577
Switzerland,Fabian Rieder,Granit Xhaka,Left Wing,Left Defensive Midfield,4,0.041057,-2.762268,1.4961,4.0475
Switzerland,Fabian Rieder,Gregor Kobel,Left Wing,Substitute,4,0.0,-2.421918,0.0,5.1063
Switzerland,Fabian Rieder,Haris Seferović,Left Wing,Center Forward,4,0.010114,-2.360674,0.3685,5.2968
Switzerland,Fabian Rieder,Jonas Omlin,Left Wing,Substitute,4,0.0,-2.367524,0.0,5.2755
Switzerland,Fabian Rieder,Manuel Obafemi Akanji,Left Wing,Right Center Back,4,0.049148,-2.939052,1.791,3.4976
Switzerland,Fabian Rieder,Michel Aebischer,Left Wing,Substitute,4,0.0,-2.378239,0.0,5.2422
Switzerland,Fabian Rieder,Noah Okafor,Left Wing,Right Wing,3,0.0,-2.570206,0.0,4.645
Switzerland,Fabian Rieder,Remo Freuler,Left Wing,Right Defensive Midfield,4,0.014279,-2.788384,0.5203,3.9663
Switzerland,Fabian Rieder,Renato Steffen,Left Wing,Substitute,3,0.0,-2.619402,0.0,4.492
Switzerland,Fabian Rieder,Ricardo Iván Rodríguez Araya,Left Wing,Left Back,4,0.005241,-2.685543,0.191,4.2862
Switzerland,Fabian Rieder,Ruben Vargas,Left Wing,Left Wing,4,0.0,-2.528412,0.0,4.775
Switzerland,Fabian Rieder,Silvan Widmer,Left Wing,Right Back,3,0.090161,-2.533671,3.2855,4.7586
Switzerland,Fabian Rieder,Xherdan Shaqiri,Left Wing,Right Wing,4,0.0,-2.52053,0.0,4.7995
Switzerland,Granit Xhaka,Haris Seferović,Left Defensive Midfield,Center Forward,4,0.102803,-2.628735,3.7462,4.4629
Switzerland,Granit Xhaka,Jonas Omlin,Left Defensive Midfield,Substitute,4,0.0,-2.635585,0.0,4.4416
Switzerland,Granit Xhaka,Michel Aebischer,Left Defensive Midfield,Substitute,4,0.000972,-2.6463,0.0354,4.4083
Switzerland,Granit Xhaka,Renato Steffen,Left Defensive Midfield,Substitute,3,0.000892,-2.940129,0.0325,3.4942
Switzerland,Gregor Kobel,Haris Seferović,Substitute,Center Forward,4,0.0,-2.288385,0.0,5.5217
Switzerland,Gregor Kobel,Jonas Omlin,Substitute,Substitute,4,0.0,-2.295236,0.0,5.5004
Switzerland,Gregor Kobel,Michel Aebischer,Substitute,Substitute,4,0.0,-2.305951,0.0,5.467
Switzerland,Gregor Kobel,Noah Okafor,Substitute,Right Wing,3,0.0,-2.556727,0.0,4.6869
Switzerland,Gregor Kobel,Renato Steffen,Substitute,Substitute,3,0.0,-2.609021,0.0,4.5242
Switzerland,Gregor Kobel,Xherdan Shaqiri,Substitute,Right Wing,4,0.0,-2.448242,0.0,5.0244
Switzerland,Haris Seferović,Jonas Omlin,Center Forward,Substitute,4,0.0,-2.233991,0.0,5.6909
Switzerland,Haris Seferović,Manuel Obafemi Akanji,Center Forward,Right Center Back,4,0.0045,-2.805519,0.164,3.913
Switzerland,Haris Seferović,Michel Aebischer,Center Forward,Substitute,4,0.0,-2.244706,0.0,5.6576
Switzerland,Haris Seferović,Noah Okafor,Center Forward,Right Wing,3,0.00283,-2.56205,0.1031,4.6704
Switzerland,Haris Seferović,Remo Freuler,Center Forward,Right Defensive Midfield,4,0.001,-2.654851,0.0364,4.3817
Switzerland,Haris Seferović,Renato Steffen,Center Forward,Substitute,3,0.000667,-2.538214,0.0243,4.7445
Switzerland,Haris Seferović,Ricardo Iván Rodríguez Araya,Center Forward,Left Back,4,0.00925,-2.55201,0.3371,4.7016
Switzerland,Haris Seferović,Ruben Vargas,Center Forward,Left Wing,4,0.0,-2.394879,0.0,5.1904
Switzerland,Haris Seferović,Silvan Widmer,Center Forward,Right Back,3,0.011038,-2.266926,0.4022,5.5884
Switzerland,Haris Seferović,Xherdan Shaqiri,Center Forward,Right Wing,4,0.035227,-2.386997,1.2837,5.2149
Switzerland,Jonas Omlin,Manuel Obafemi Akanji,Substitute,Right Center Back,4,0.0,-2.81237,0.0,3.8917
Switzerland,Jonas Omlin,Michel Aebischer,Substitute,Substitute,4,0.0,-2.251557,0.0,5.6362
